Team,appoll,kenpom,net,torvik
Abilene Christian,,214,195,188
Air Force,,322,309,321
Akron,,60,53,64
Alabama,16,17,16,14
Alabama A&M,,275,250,288
Alabama St,,278,272,278
Albany,,299,292,307
Alcorn St,,333,340,333
American,,231,247,229
Appalachian St,,254,211,237
Arizona,1,4,4,6
Arizona St,,66,61,76
Arkansas,14,25,20,22
Arkansas Pine Bluff,,346,300,320
Arkansas St,,143,144,150
Army,,335,308,331
Auburn,21,30,35,37
Austin Peay,,187,142,167
BYU,10,9,7,16
Ball St,,318,345,308
Baylor,,32,46,41
Bellarmine,,260,263,295
Belmont,,68,49,78
Bethune Cookman,,258,281,239
Binghamton,,363,363,360
Boise St,,46,40,35
Boston College,,141,185,148
Boston U,,298,291,310
Bowling Green,,113,88,108
Bradley,,120,126,122
Brown,,226,256,243
Bryant,,305,311,316
Bucknell,,303,307,290
Buffalo,,177,146,186
Butler,,55,48,58
Cal Baptist,,126,97,109
Cal Poly,,232,216,217
Cal St Bakersfield,,314,322,311
Cal St Fullerton,,239,193,273
Cal St Northridge,,211,231,201
California,,72,51,81
Campbell,,220,248,232
Canisius,,339,325,342
Central Arkansas,,235,236,241
Central Connecticut St,,267,215,301
Central Michigan,,323,328,327
Charleston,,197,221,210
Charleston Southern,,246,200,233
Charlotte,,200,192,185
Chattanooga,,253,304,255
Chicago St,,348,324,337
Cincinnati,,79,113,73
Citadel,,356,357,354
Clemson,,34,34,34
Cleveland St,,324,346,324
Coastal Carolina,,259,238,258
Colgate,,167,139,165
Colorado,,65,50,82
Colorado St,,62,54,67
Columbia,,123,84,119
Coppin St,,364,364,364
Cornell,,170,151,170
Creighton,,48,71,50
Dartmouth,,251,243,246
Davidson,,124,118,110
Dayton,,67,73,63
DePaul,,119,148,124
Delaware,,271,282,254
Delaware St,,355,352,353
Denver,,300,252,294
Detroit Mercy,,294,287,275
Drake,,135,162,153
Drexel,,297,301,285
Duke,3,5,2,5
Duquesne,,144,190,146
ETSU,,121,110,149
East Carolina,,266,288,276
East Texas A&M,,291,233,298
Eastern Illinois,,321,321,315
Eastern Kentucky,,262,278,248
Eastern Michigan,,212,194,235
Eastern Washington,,247,276,250
Elon,,165,137,159
Evansville,,281,280,266
FAU,,114,107,120
FGCU,,174,205,192
FIU,,182,183,163
Fairfield,,273,225,269
Fairleigh Dickinson,,358,354,359
Florida,23,13,25,18
Florida A&M,,342,327,325
Florida St,,118,143,112
Fordham,,202,210,180
Fresno St,,172,168,183
Furman,,157,165,164
Gardner Webb,,359,359,361
George Mason,,69,66,77
George Washington,,82,83,79
Georgetown,,94,111,101
Georgia,25,23,18,26
Georgia Southern,,216,212,202
Georgia St,,330,344,338
Georgia Tech,,131,189,139
Gonzaga,7,2,3,3
Grambling,,236,203,222
Grand Canyon,,95,123,88
Green Bay,,264,219,238
Hampton,,257,269,260
Harvard,,188,232,242
Hawaii,,103,117,96
High Point,,100,116,98
Hofstra,,109,87,125
Holy Cross,,328,294,314
Houston,8,8,14,4
Houston Christian,,287,290,267
Howard,,288,267,306
IU Indy,,349,318,345
Idaho,,186,130,158
Idaho St,,158,105,175
Illinois,18,11,12,15
Illinois St,,93,80,85
Incarnate Word,,180,224,184
Indiana,,28,30,19
Indiana St,,199,209,212
Iona,,168,157,152
Iowa,,20,19,20
Iowa St,4,3,5,7
Jackson St,,334,355,318
Jacksonville,,310,305,317
Jacksonville St,,270,323,256
James Madison,,203,214,195
Kansas,17,16,13,13
Kansas City,,336,334,339
Kansas St,,64,60,65
Kennesaw St,,166,184,155
Kent St,,137,154,128
Kentucky,,18,27,25
LIU,,206,191,224
LSU,,37,37,32
La Salle,,263,268,252
Lafayette,,325,339,322
Lamar,,249,257,227
Le Moyne,,308,298,299
Lehigh,,307,313,312
Liberty,,102,140,95
Lindenwood,,230,181,226
Lipscomb,,132,104,154
Little Rock,,315,341,335
Long Beach St,,265,270,283
Longwood,,302,315,300
Louisiana,,332,353,326
Louisiana Tech,,196,255,197
Louisville,11,14,17,11
Loyola Chicago,,313,348,330
Loyola Maryland,,338,351,350
Loyola Marymount,,128,133,131
MTSU,,159,134,130
Maine,,343,330,356
Manhattan,,320,320,303
Marist,,164,171,176
Marquette,,111,170,123
Marshall,,152,119,172
Maryland,,99,164,121
McNeese,,70,45,70
Memphis,,75,121,72
Mercer,,161,114,179
Mercyhurst,,317,319,329
Merrimack,,276,266,281
Miami FL,,36,33,33
Miami OH,,112,69,99
Michigan,2,1,1,1
Michigan St,9,12,10,10
Milwaukee,,233,220,214
Minnesota,,107,125,91
Mississippi St,,87,135,105
Mississippi Valley St,,365,365,365
Missouri,,52,78,44
Missouri St,,277,284,240
Monmouth,,242,242,221
Montana,,209,222,200
Montana St,,171,155,162
Morehead St,,312,299,304
Morgan St,,360,361,362
Mt St Mary's,,304,326,302
Murray St,,91,81,97
NC A&T,,309,262,319
NC Central,,350,343,352
NC St,,26,32,27
NJIT,,352,335,347
Navy,,193,197,207
Nebraska,15,21,11,21
Nevada,,90,93,93
New Hampshire,,337,329,336
New Haven,,341,310,341
New Mexico,,78,65,86
New Mexico St,,139,129,134
New Orleans,,221,244,220
Niagara,,357,356,358
Nicholls,,228,253,251
Norfolk St,,243,249,259
North Alabama,,269,285,249
North Carolina,12,22,15,24
North Dakota,,326,314,334
North Dakota St,,148,128,137
North Florida,,345,338,340
North Texas,,136,179,161
Northeastern,,215,207,219
Northern Arizona,,272,259,264
Northern Colorado,,153,106,156
Northern Illinois,,316,317,309
Northern Iowa,,92,86,84
Northern Kentucky,,198,187,215
Northwestern,,57,74,61
Northwestern St,,293,316,291
Notre Dame,,56,64,60
Oakland,,134,136,145
Ohio,,190,198,182
Ohio St,,39,47,36
Oklahoma,,50,58,56
Oklahoma St,,59,76,57
Old Dominion,,208,227,198
Ole Miss,,58,91,69
Omaha,,238,251,231
Oral Roberts,,292,283,305
Oregon,,80,112,66
Oregon St,,176,199,160
Pacific,,129,101,144
Penn,,245,237,244
Penn St,,104,103,104
Pepperdine,,282,275,279
Pittsburgh,,110,153,114
Portland,,217,213,228
Portland St,,183,182,173
Prairie View A&M,,311,303,323
Presbyterian,,286,274,286
Princeton,,268,296,271
Providence,,76,98,89
Purdue,6,6,9,9
Purdue Fort Wayne,,227,241,236
Queens,,204,218,213
Quinnipiac,,155,131,140
Radford,,248,297,247
Rhode Island,,101,102,117
Rice,,207,229,190
Richmond,,98,89,100
Rider,,351,358,349
Robert Morris,,175,161,174
Rutgers,,146,196,178
SE Louisiana,,274,295,268
SEMO,,234,226,223
SIUE,,244,260,270
SMU,,42,43,49
Sacramento St,,279,265,277
Sacred Heart,,256,254,262
Sam Houston,,116,72,135
Samford,,241,264,280
San Diego,,218,217,205
San Diego St,,47,82,51
San Francisco,,97,122,87
San Jose St,,191,240,199
Santa Clara,,71,68,43
Seattle,,108,99,107
Seton Hall,,43,36,42
Siena,,169,156,147
South Alabama,,194,180,209
South Carolina,,86,108,94
South Carolina St,,362,362,363
South Dakota,,284,271,272
South Dakota St,,192,177,169
Southern,,213,258,194
Southern Illinois,,127,132,141
Southern Indiana,,331,342,343
Southern Miss,,189,169,191
Southern Utah,,319,332,328
St Bonaventure,,117,95,115
St Francis,,361,360,355
St John's,22,19,23,17
St Joseph's,,179,235,177
St Louis,,35,21,30
St Mary's,,33,26,29
St Peter's,,296,302,289
St Thomas,,140,115,113
Stanford,,85,96,80
Stephen F Austin,,133,109,127
Stetson,,344,333,348
Stonehill,,340,337,344
Stony Brook,,222,204,211
Syracuse,,81,94,68
TCU,,63,67,54
Tarleton St,,181,163,187
Temple,,150,172,151
Tennessee,20,15,24,12
Tennessee St,,225,178,245
Tennessee Tech,,240,186,265
Texas,,45,52,40
Texas A&M,,53,85,47
Texas A&M Corpus Christi,,223,206,230
Texas Southern,,327,347,292
Texas St,,261,286,225
Texas Tech,19,27,28,31
Toledo,,160,159,171
Towson,,147,150,181
Troy,,142,141,136
Tulane,,201,246,203
Tulsa,,74,41,83
UAB,,115,127,118
UC Davis,,184,174,204
UC Irvine,,138,158,126
UC Riverside,,252,223,257
UC San Diego,,88,70,90
UC Santa Barbara,,154,166,168
UCF,,49,42,55
UCLA,,31,39,28
UConn,5,7,6,2
UIC,,195,228,196
ULM,,353,349,351
UMBC,,285,277,287
UMES,,347,331,346
UMass,,162,173,142
UMass Lowell,,295,306,297
UNC Asheville,,229,230,206
UNC Greensboro,,289,293,274
UNC Wilmington,,106,90,111
UNLV,,149,201,129
USC,,38,38,39
USC Upstate,,255,202,253
USF,,84,75,74
UT Arlington,,173,145,193
UT Martin,,237,188,282
UTEP,,219,289,218
UTRGV,,178,152,166
UTSA,,290,312,293
Utah,,130,149,116
Utah St,,40,31,46
Utah Tech,,250,239,261
Utah Valley,,83,56,71
VCU,,41,62,53
VMI,,329,336,332
Valparaiso,,205,234,216
Vanderbilt,13,10,8,8
Vermont,,185,167,189
Villanova,,29,29,38
Virginia,23,24,22,23
Virginia Tech,,61,57,59
Wagner,,301,245,263
Wake Forest,,54,59,48
Washington,,51,63,62
Washington St,,156,175,157
Weber St,,210,176,208
West Georgia,,306,261,313
West Virginia,,73,100,52
Western Carolina,,280,273,296
Western Illinois,,354,350,357
Western Kentucky,,145,120,133
Western Michigan,,283,279,284
Wichita St,,96,92,102
William & Mary,,122,79,106
Winthrop,,125,124,138
Wisconsin,,44,77,45
Wofford,,224,208,234
Wright St,,151,147,143
Wyoming,,89,55,92
Xavier,,105,138,103
Yale,,77,44,75
Youngstown St,,163,160,132
